Fecha,Evento,Hora,Categoria,Precio,Direccion,Ubicacion,Ciudad
26may,New York Yankees vs. Los Angeles Angels of Anaheim,SA - Hora de inicio: 7:15 pm ," Béisbol, Deportes                                                            "," Desde $29,00",161st Street and River Avenue,Bronx,NY
27 may,Un domingo de góspel,DO,,,161st Street and River Avenue,Bronx,NY
27may,New York Yankees vs. Los Angeles Angels of Anaheim,DO - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $28,00",161st Street and River Avenue,Bronx,NY
28 may,Woodbury Common Premium Outlets Shopping Tour,LU,,,161st Street and River Avenue,Bronx,NY
28 may,Memorial Day,LU,,,161st Street and River Avenue,Bronx,NY
28may,NHL Stanley Cup Finals: New Jersey Devils vs. TBD - Home Game 1 (Date: TBD - If Necessary),LU - Hora de inicio: ," Hóckey, Deportes                                                            "," Desde $633,00",Lafayette St At Mulberry St,Newark,NJ
28may,New York Yankees vs. Houston Astros,LU - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $30,00",161st Street and River Avenue,Bronx,NY
29may,New York Yankees vs. Houston Astros,MA - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $23,00",161st Street and River Avenue,Bronx,NY
29may,"Kendrick Lamar, SZA & Schoolboy Q",MA - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $98,00",4 Pennsylvania Plaza,New York,NY
30may,NHL Stanley Cup Finals: New Jersey Devils vs. TBD - Home Game 2 (Date: TBD - If Necessary),MI - Hora de inicio: ," Hóckey, Deportes                                                            "," Desde $664,00",Lafayette St At Mulberry St,Newark,NJ
30may,New York Yankees vs. Houston Astros,MI - Hora de inicio: 6:35 pm ," Béisbol, Deportes                                                            "," Desde $21,00",161st Street and River Avenue,Bronx,NY
30may,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
30may,Pond,MI - Hora de inicio: 9:00 pm , Conciertos                                                            ," Desde $53,00",,Brooklyn,NY
31may,New York Mets vs. Chicago Cubs,JU - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $17,00",126th St. and Roosevelt Ave.,Queens,NY
1jun,New York Mets vs. Chicago Cubs,VI - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $31,00",126th St. and Roosevelt Ave.,Queens,NY
2 jun,Vida nocturna,SA,,,126th St. and Roosevelt Ave.,Queens,NY
2jun,"Luke Bryan, Sam Hunt & Jon Pardi",SA - Hora de inicio: 5:30 pm , Conciertos                                                            ," Desde $93,00",102 Route 120,East Rutherford,NJ
2jun,Ring of Honor Wrestling,SA - Hora de inicio: 6:00 pm ," Deportes, Lucha                                                            "," Desde $70,00",311 West 34th Street,New York,NY
2jun,New York Mets vs. Chicago Cubs,SA - Hora de inicio: 7:15 pm ," Béisbol, Deportes                                                            "," Desde $36,00",126th St. and Roosevelt Ave.,Queens,NY
2jun,New York City FC vs. Orlando City SC,SA - Hora de inicio: 7:30 pm ," Fútbol, Deportes                                                            "," Desde $39,00",161st Street and River Avenue,Bronx,NY
2jun,Billy Joel,SA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $88,00",4 Pennsylvania Plaza,New York,NY
3 jun,Un domingo de góspel,DO,,,4 Pennsylvania Plaza,New York,NY
3jun,New York Mets vs. Chicago Cubs,DO - Hora de inicio: 1:10 pm ," Béisbol, Deportes                                                            "," Desde $31,00",126th St. and Roosevelt Ave.,Queens,NY
3jun,Primus & Mastodon,DO - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $74,00",3052 West 21st Street,Brooklyn,New York
4 jun,Acceso a la colección de teatro de la Biblioteca Pública,LU,,,3052 West 21st Street,Brooklyn,New York
4 jun,Woodbury Common Premium Outlets Shopping Tour,LU,,,3052 West 21st Street,Brooklyn,New York
5jun,New York Liberty vs. Phoenix Mercury,MA - Hora de inicio: 11:00 am ," Baloncesto, Deportes                                                            "," Desde $335,00",4 Pennsylvania Plaza,New York,NY
5jun,New York Mets vs. Baltimore Orioles,MA - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $16,00",126th St. and Roosevelt Ave.,Queens,NY
6jun,New York Mets vs. Baltimore Orioles,MI - Hora de inicio: 1:10 pm ," Béisbol, Deportes                                                            "," Desde $16,00",126th St. and Roosevelt Ave.,Queens,NY
6jun,Depeche Mode,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $66,00",Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
6jun,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
7jun,NHL Stanley Cup Finals: New Jersey Devils vs. TBD - Home Game 3 (Date: TBD - If Necessary),JU - Hora de inicio: ," Hóckey, Deportes                                                            "," Desde $757,00",Lafayette St At Mulberry St,Newark,NJ
8jun,New York Mets vs. New York Yankees,VI - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $98,00",126th St. and Roosevelt Ave.,Queens,NY
8jun,Ben Harper & Charlie Musselwhite,VI - Hora de inicio: 9:00 pm , Conciertos                                                            ," Desde $107,00",6 Delancey St,New York,NY
9 jun,Vida nocturna,SA,,,6 Delancey St,New York,NY
9jun,New York City FC vs. Atlanta United FC,SA - Hora de inicio: 12:30 pm ," Fútbol, Deportes                                                            "," Desde $37,00",161st Street and River Avenue,Bronx,NY
9jun,New York Mets vs. New York Yankees,SA - Hora de inicio: 7:15 pm ," Béisbol, Deportes                                                            "," Desde $96,00",126th St. and Roosevelt Ave.,Queens,NY
9jun,Third Day,SA - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $85,00",2124 Broadway,New York,NY
9jun,U2,SA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $119,00",1255 Hempstead Turnpike,Uniondale,NY
9jun,Luis Miguel,SA - Hora de inicio: 8:30 pm , Conciertos                                                            ," Desde $89,00",4 Pennsylvania Plaza,New York,NY
9jun,Ben Harper & Charlie Musselwhite,SA - Hora de inicio: 9:00 pm , Conciertos                                                            ," Desde $105,00",6 Delancey St,New York,NY
10 jun,Un domingo de góspel,DO,,,6 Delancey St,New York,NY
10jun,NHL Stanley Cup Finals: New Jersey Devils vs. TBD - Home Game 4 (Date: TBD - If Necessary),DO - Hora de inicio: ," Hóckey, Deportes                                                            "," Desde $988,00",Lafayette St At Mulberry St,Newark,NJ
10jun,New York Mets vs. New York Yankees,DO - Hora de inicio: 8:05 pm ," Béisbol, Deportes                                                            "," Desde $49,00",126th St. and Roosevelt Ave.,Queens,NY
11 jun,Woodbury Common Premium Outlets Shopping Tour,LU,,,126th St. and Roosevelt Ave.,Queens,NY
11jun,Aly & AJ,LU - Hora de inicio: 9:00 pm , Conciertos                                                            ," Desde $51,00",127 E 23rd,New York,NY
12jun,New York Yankees vs. Washington Nationals,MA - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $27,00",161st Street and River Avenue,Bronx,NY
13jun,Journey & Def Leppard,MI - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $123,00",4 Pennsylvania Plaza,New York,NY
13jun,New York Yankees vs. Washington Nationals,MI - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $18,00",161st Street and River Avenue,Bronx,NY
13jun,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
13jun,New York Red Bulls vs. Seattle Sounders FC,MI - Hora de inicio: 8:00 pm ," Fútbol, Deportes                                                            "," Desde $25,00",6th Street and Cape May Street,Harrison,NJ
13jun,"Lucinda Williams, Steve Earle and The Dukes & Dwight Yoakam",MI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $104,00",2124 Broadway,New York,NY
14 jun,Broadway Sip N' Paint,JU,,,2124 Broadway,New York,NY
14jun,Hall and Oates & Train,JU - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $95,00",4 Pennsylvania Plaza,New York,NY
14jun,New York Yankees vs. Tampa Bay Rays,JU - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $21,00",161st Street and River Avenue,Bronx,NY
14jun,Tim McGraw & Faith Hill,JU - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $116,00",1255 Hempstead Turnpike,Uniondale,NY
15 - 24 jun,Orgullo Gay en Nueva York,,,,1255 Hempstead Turnpike,Uniondale,NY
