Fecha,Evento,Hora,Categoria,Precio,Direccion,Ubicacion,Ciudad
11 nov,Un domingo de góspel,DO,,,4 Pennsylvania Plaza,New York,NY
11 nov,Veterans Day,DO,,,4 Pennsylvania Plaza,New York,NY
12 nov,Woodbury Common Premium Outlets Shopping Tour,LU,,,4 Pennsylvania Plaza,New York,NY
14nov,Amateur Night At The Apollo: Top Dog,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $67,00",253 West 125th Street,New York,NY
15nov,2K Classic,JU - Hora de inicio: 7:00 pm ," Baloncesto, Deportes                                                            "," Desde $92,00",4 Pennsylvania Plaza,New York,NY
16nov,2K Classic,VI - Hora de inicio: 4:30 pm ," Baloncesto, Deportes                                                            "," Desde $104,00",4 Pennsylvania Plaza,New York,NY
17 nov,Vida nocturna,SA,,,4 Pennsylvania Plaza,New York,NY
18 nov,Un domingo de góspel,DO,,,4 Pennsylvania Plaza,New York,NY
18nov,Josh Groban & Idina Menzel,DO - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $86,00",4 Pennsylvania Plaza,New York,NY
19 nov,Woodbury Common Premium Outlets Shopping Tour,LU,,,4 Pennsylvania Plaza,New York,NY
19nov,Legends Classic,LU - Hora de inicio: 7:00 pm ," Baloncesto, Deportes                                                            "," Desde $54,00",Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
20nov,Legends Classic,MA - Hora de inicio: 5:00 pm ," Baloncesto, Deportes                                                            "," Desde $56,00",Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
21nov,Amateur Night At The Apollo: Super Top Dog,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $55,00",253 West 125th Street,New York,NY
21nov,Hot Tuna,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $98,00",2124 Broadway,New York,NY
22 nov,Thanksgiving Day,JU,,,2124 Broadway,New York,NY
23 nov,Black Friday,VI,,,2124 Broadway,New York,NY
24 nov,Vida nocturna,SA,,,2124 Broadway,New York,NY
25 nov,Un domingo de góspel,DO,,,2124 Broadway,New York,NY
26 nov,Woodbury Common Premium Outlets Shopping Tour,LU,,,2124 Broadway,New York,NY
1 dic,Vida nocturna,SA,,,2124 Broadway,New York,NY
2 dic,Un domingo de góspel,DO,,,2124 Broadway,New York,NY
4dic,Rufus Wainwright,MA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $99,00",2124 Broadway,New York,NY
8 dic,Aniversario de la muerte de John Lennon,SA,,,2124 Broadway,New York,NY
8 dic,Vida nocturna,SA,,,2124 Broadway,New York,NY
9 dic,Un domingo de góspel,DO,,,2124 Broadway,New York,NY
12dic,Andrea Bocelli,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $170,00",4 Pennsylvania Plaza,New York,NY
13dic,Andrea Bocelli,JU - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $176,00",4 Pennsylvania Plaza,New York,NY
15 dic,Vida nocturna,SA,,,4 Pennsylvania Plaza,New York,NY
16 dic,Un domingo de góspel,DO,,,4 Pennsylvania Plaza,New York,NY
22 dic,Vida nocturna,SA,,,4 Pennsylvania Plaza,New York,NY
23 dic,Un domingo de góspel,DO,,,4 Pennsylvania Plaza,New York,NY
24 - 26 dic,Espectáculo navideño Radio City Christmas Spectacular,,,,4 Pennsylvania Plaza,New York,NY
24 dic,Crucero con cena de lujo en Nochebuena,LU,,,4 Pennsylvania Plaza,New York,NY
24 dic,Nochebuena,LU,,,4 Pennsylvania Plaza,New York,NY
25 dic,Día de Navidad,MA,,,4 Pennsylvania Plaza,New York,NY
26 dic,Boxing Day Sale,MI,,,4 Pennsylvania Plaza,New York,NY
27dic,Thursday,JU - Hora de inicio: 9:00 pm , Conciertos                                                            ," Desde $79,00",66 North Sixth Street,Brooklyn,NY
28dic,Thursday,VI - Hora de inicio: 9:00 pm , Conciertos                                                            ," Desde $62,00",66 North Sixth Street,Brooklyn,NY
29 dic,Vida nocturna,SA,,,66 North Sixth Street,Brooklyn,NY
30 dic,Un domingo de góspel,DO,,,66 North Sixth Street,Brooklyn,NY
31 dic,Woodbury Common Premium Outlets Shopping Tour,LU,,,66 North Sixth Street,Brooklyn,NY
31 dic,Fin de Año,LU,,,66 North Sixth Street,Brooklyn,NY
31 dic,Fiestas de Nochevieja,LU,,,66 North Sixth Street,Brooklyn,NY
31 dic,Cruceros de Fin de Año,LU,,,66 North Sixth Street,Brooklyn,NY
